SA2_CODE21,LST,NDVI,NDBI,pop,elderly,median_hhd_income,median_age,IRSD_score,IRSAD_score,area_km2,pop_density,elderly_pct,SUHI
207021159,32.323577903458336,0.5104737421232182,-0.10529205808735757,16966,4256,2163,46,1074.0,1094.0,16.1176,1052.6381098922916,25.085465047742545,-1.2795604100157547
207021160,33.4891164390108,0.4521488749672412,-0.09598970618659955,14191,3547,1919,45,1055.0,1071.0,5.9386,2389.6204492641364,24.994714960186037,-0.11402187446329037
207021424,34.04825075357935,0.44588328372870967,-0.08818059433018488,15672,3440,1934,43,1059.0,1079.0,6.403,2447.602686240825,21.949974476773864,0.4451124401052624
207021425,33.74836866670408,0.4124797380870396,-0.0806080152731237,15454,3082,1656,40,1030.0,1050.0,4.7684,3240.919385957554,19.943056813769896,0.14523035322999078
207031161,32.177965388790156,0.45714949309608455,-0.10301103990594976,22106,3878,2050,40,1069.0,1087.0,8.6076,2568.195548120266,17.542748575047497,-1.4251729246839346
207031162,32.46981481289312,0.44788107854162124,-0.10018608561764863,10939,2312,1861,42,1054.0,1071.0,3.5966,3041.4836234221207,21.13538714690557,-1.1333235005809712
207031163,32.73211666486269,0.4299219690963705,-0.08049821678294375,22841,3357,1441,34,991.0,1041.0,7.0123,3257.276499864524,14.697254936298762,-0.8710216486114035
207031164,33.40205447431529,0.45363756370083763,-0.09540886248834145,18126,2971,1920,39,1041.0,1075.0,6.2087,2919.451737078615,16.39081981683769,-0.20108383915879813
207031165,32.57278388539363,0.42816554684009994,-0.07987766118079193,12336,2023,1564,33,1010.0,1049.0,5.0392,2448.007620257184,16.399156939040207,-1.0303544280804573
207031166,33.245387642662656,0.395577483761112,-0.07949474741189616,10675,2383,1610,41,1031.0,1047.0,4.2629,2504.1638321330547,22.3231850117096,-0.3577506708114342
207031167,32.14024502463214,0.4703764899644132,-0.09178126709486138,10166,1993,2388,42,1096.0,1130.0,3.3279,3054.779290243096,19.604564233720247,-1.4628932888419541
208011168,31.765329421469005,0.4515026844417269,-0.11383459742712906,14021,3147,2622,48,1108.0,1134.0,5.9678,2349.4420054291363,22.44490407246273,-1.8378088920050857
208011169,32.335007199950205,0.3978401563975117,-0.07821842700134311,22758,5689,2718,48,1101.0,1146.0,8.2004,2775.230476562119,24.997802970384043,-1.2681311135238857
208011170,32.69254672286506,0.42429068870248415,-0.07606781666007097,16540,3370,2720,44,1090.0,1133.0,5.6083,2949.200292423729,20.37484885126965,-0.9105915906090303
208011171,33.23888886369106,0.3885757187006035,-0.05850880346485331,12439,1859,2291,40,1071.0,1098.0,5.3198,2338.245798714237,14.944931264571109,-0.3642494497830313
208011172,32.33771125305031,0.3880944093617003,-0.06889006235243823,18200,3216,2415,43,1074.0,1115.0,5.6847,3201.576160571358,17.67032967032967,-1.2654270604237823
208011173,31.754569106507113,0.41130469988978413,-0.08896968218325534,17358,4154,2356,48,1094.0,1125.0,6.4301,2699.4914542542106,23.931328494066136,-1.8485692069669781
208021174,33.52944483655762,0.37782464293694107,-0.04312818109382185,24896,3949,2240,40,1069.0,1102.0,6.2242,3999.8714694257897,15.86198586118252,-0.07369347691646766
208021176,33.18749411861653,0.36221562513153144,-0.03561711022410164,18534,2818,1873,36,1062.0,1087.0,3.8045,4871.599421737416,15.204489047156578,-0.4156441948575633
208021177,32.470277131284455,0.3834718871034982,-0.0672594555242988,22362,3959,2184,35,1085.0,1122.0,6.4189,3483.7744784932,17.704140953403094,-1.132861182189636
208021178,33.02763370563463,0.36592470353845974,-0.04428524544224915,18075,3806,2289,41,1086.0,1120.0,4.7426,3811.200607261839,21.0567081604426,-0.5755046078394628
208021179,32.56243924990682,0.3573808695141676,-0.046130078284643786,11904,1921,2171,38,1085.0,1118.0,2.8616,4159.910539558289,16.137432795698924,-1.0406990635672742
208021180,33.22517818570486,0.37845901883317945,-0.03820869317984343,7563,1117,2057,38,1051.0,1073.0,2.0095,3763.6227917392384,14.769271453127066,-0.37796012776922794
208021181,32.97307663766033,0.3974875151506695,-0.052786882776334074,9369,1350,2089,38,1077.0,1099.0,2.5148,3725.5447749324,14.409221902017292,-0.6300616758137636
208021182,33.417620717339915,0.3687171364031176,-0.039038018827064855,13128,1721,1978,36,1066.0,1090.0,2.9371,4469.715025024684,13.10938452163315,-0.18551759613417573
208021426,34.02954213327135,0.36476961161859833,-0.048137060007103646,16583,2311,2250,39,1067.0,1091.0,4.5989,3605.8622714127287,13.93595851172888,0.42640381979725817
208021427,34.182600592295195,0.42527827664410117,-0.08233270269912477,14057,2396,2173,40,1076.0,1090.0,4.5882,3063.728695348939,17.044888667567758,0.5794622788211043
208031183,32.40331133291058,0.4173120556910034,-0.09424943431050294,8853,1369,2348,42,1080.0,1079.0,5.3073,1668.0798145949918,15.46368462668022,-1.1998269805635076
208031184,32.99800065012262,0.3944361015240275,-0.050952607263041495,31,3,933,56,,,9.0819,3.413382662218259,9.67741935483871,-0.6051376633514707
208031185,32.53701411879045,0.35075199892972864,-0.0728040698250658,12032,2403,1853,44,1043.0,1033.0,5.8242,2065.86312283232,19.971742021276597,-1.0661241946836384
